x,max,upper,mid,lower,min,group,dir
1,2.913946588,2.783382789,2.635014837,2.391691395,2.142433234,Both,Up
2,2.314540059,2.302670623,2.261127596,2.24925816,2.237388724,Hyper,Up
3,3.050445104,2.973293769,2.729970326,2.356083086,2.029673591,Hypo,Up
4,2.795252226,2.46884273,2.278931751,2.12462908,2.011869436,No,Up
5,3.050445104,2.504451039,2.284866469,2.118694362,2.011869436,Random,Up
1,-3.489614243,-3.513353116,-3.554896142,-3.596439169,-3.62611276,Both,Down
2,-2.480712166,-2.486646884,-2.492581602,-2.504451039,-2.516320475,Hyper,Down
3,-2,-2.017804154,-2.029673591,-2.243323442,-2.439169139,Hypo,Down
4,-2.011869436,-2.178041543,-2.308605341,-2.724035608,-3.234421365,No,Down
5,-2.011869436,-2.053412463,-2.148367953,-2.308605341,-2.706231454,Random,Down
